Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
China Railway Engineering,"The China Railway Engineering Corporation is a state-owned holding company of China, which is under the supervision of the State Council.",96979,-2.5,924.1,108864,-6,292215,"Engineering, Construction",57,55,Zhang Zongyan,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.crecg.com,3,10806,10806,0.8,8.6
Prudential,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 30 other countries.",96965,53.7,2592.8,581221,-34.2,23673,"Insurance: Life, Health (stock)",126,56,Michael A. Wells,Financial Sector,"Insurance: Life, Health (stock)","London, Britain",http://www.prudential.co.uk,22,18117,18117,0.4,14.3
Assicurazioni Generali,"Assicurazioni Generali S.p.A. or simply Generali is an Italian insurance company, the largest in Italy and third in the world. It has its headquarters in Trieste.",95217,-7.2,2301.3,549656,2.2,73727,"Insurance: Life, Health (stock)",49,57,Philippe R. Donnet,Financial Sector,"Insurance: Life, Health (stock)","Trieste, Italy",http://www.generali.com,23,25886,25886,0.4,8.9
China Railway Construction,"China Railway Construction Corporation Limited, together with its subsidiaries, engages in the construction of infrastructure projects in Mainland China and internationally. The company operates through five segments: Construction Operations; Survey, Design and Consultancy Operations; Manufacturing Operations; Real Estate Operations; and Other Business Operations.",94877,-0.8,1192.4,109968,7.8,336872,"Engineering, Construction",62,58,Meng Fengchao,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.crcc.cn,6,10146,10146,1.1,11.8
Home Depot,"The Home Depot Inc. or Home Depot is an American home improvement supplies retailing company that sells tools, construction products, and services.",94595,6.9,7957,42966,13.5,406000,Specialty Retailers,69,59,Craig A. Menear,Wholesalers & Retailers,Specialty Retailers,"Atlanta, GA",http://www.homedepot.com,23,4333,4333,18.5,183.6
Boeing,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, and missiles worldwide.",94571,-1.6,4895,89997,-5.4,150540,Aerospace and Defense,61,60,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",http://www.boeing.com,23,817,817,5.4,599.1
Royal Dutch Shell,"Royal Dutch Shell plc, commonly known as Shell, is a British-Dutch oil and gas company headquartered in the Netherlands and incorporated in the United Kingdom. It is one of the six oil and gas supermajors and the fifth-largest company in the world measured by 2018 revenues.",240033,-11.8,4575,411275,135.9,89000,Petroleum Refining,5,7,Ben van Beurden,Energy,Petroleum Refining,"The Hague, Netherlands",http://www.shell.com,23,186646,186646,1.1,2.5
Wells Fargo,"Wells Fargo & Company is an American multinational financial services company headquartered in San Francisco, California, with central offices throughout the United States.",94176,4.6,21938,1930115,-4.2,269100,Banks: Commercial and Savings,67,61,Timothy J. Sloan,Financial Sector,Banks: Commercial and Savings,"San Francisco, CA",http://www.wellsfargo.com,20,199581,199581,1.1,11
Bank of America Corp.,"The Bank of America Corporation is an American multinational investment bank and financial services company based in Charlotte, North Carolina with central hubs in New York City, London, Hong Kong, Minneapolis, and Toronto. Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998.",93662,0.7,17906,2187702,12.7,208024,Banks: Commercial and Savings,64,62,Brian T. Moynihan,Financial Sector,Banks: Commercial and Savings,"Charlotte, NC",http://www.bankofamerica.com,23,266840,266840,0.8,6.7
Gazprom,"Public Joint Stock Company Gazprom is a large Russian company founded in 1989, which carries on the business of extraction, production, transport, and sale of natural gas. The company is majority owned by the Government of Russia, via the Federal Agency for State Property Management and Rosneftegaz.",91382,-8.1,14222.6,277262,10.4,467400,Energy,56,63,Alexey B. Miller,Energy,Energy,"Moscow, Russia",http://www.gazprom.com,21,181813,181813,5.1,7.8
Nestle,"Nestle S.A. is a Swiss transnational food and drink company headquartered in Vevey, Vaud, Switzerland. It is the largest food company in the world, measured by revenues and other metrics, since 2014.",90814,-1.6,8659.2,129824,-8.1,328000,Food Consumer Products,66,64,Ulf Mark Schneider,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland",http://www.nestle.com,23,63573,63573,6.7,13.6
Alphabet,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a corporate restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries.",90272,20.4,19478,167497,19.1,72053,Internet Services and Retailing,94,65,Larry Page,Technology,Internet Services and Retailing,"Mountain View, CA",http://www.abc.xyz,9,139036,139036,11.6,14
Siemens,"Siemens AG is a German conglomerate company headquartered in Berlin and Munich and the largest industrial manufacturing company in Europe with branch offices abroad. The principal divisions of the company are Industry, Energy, Healthcare, and Infrastructure & Cities, which represent the main activities of the company.",88419,0.9,6050.5,141271,-27.4,351000,Industrial Machinery,71,66,Josef Kaeser,Industrial Sector,Industrial Machinery,"Munich, Germany",http://www.siemens.com,23,38444,38444,4.3,15.7
Carrefour,"Carrefour S.A. is a French multinational retailer headquartered in Boulogne Billancourt, France, in the Hauts-de-Seine Department near Paris.",87112,-0.4,825,51513,-24.1,384151,Food and Drug Stores,73,67,Georges Plassat,Health Care,Food and Drug Stores,"Boulogne-Billancourt, France",http://www.carrefour.com,23,10996,10996,1.6,7.5
Dongfeng Motor,"Dongfeng Motor Corporation is a Chinese state-owned automobile manufacturer headquartered in Wuhan, China. Traditionally one of the Big Three Chinese automakers, Dongfeng is currently in the top four in terms of output along with Changan Motors, FAW Group, and SAIC Motor.",86194,4.1,1415,59532,-4.4,189795,Motor Vehicles and Parts,81,68,Li Shaozhu,Transportation,Motor Vehicles and Parts,"Wuhan, China",http://www.dfmc.com.cn,8,11464,11464,2.4,12.3
Microsoft,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports and sells computer software, consumer electronics, personal computers, and related services.",85320,-8.8,16798,193694,37.8,114000,Computer Software,63,69,Satya Nadella,Technology,Computer Software,"Redmond, WA",http://www.microsoft.com,20,71997,71997,8.7,23.3
Anthem,"Anthem, Inc. is an American health insurance company founded in the 1940s, prior to 2014 known as WellPoint, Inc. It is the largest for-profit managed health care company in the Blue Cross and Blue Shield Association.",84863,7.2,2469.8,65083,-3.5,53000,Health Care: Insurance and Managed Care,85,70,Joseph R. Swedish,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",http://www.antheminc.com,16,25100,25100,3.8,9.8
Berkshire Hathaway,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States.Berkshire now owns a diverse range of businesses including confectionery, retail, railroads, home furnishings, encyclopedias, manufacturers of vacuum cleaners, jewelry sales, newspaper publishing, manufacture and distribution of uniforms, and several regional electric and gas utilities.",223604,6.1,24074,620854,,367700,Insurance: Property and Casualty (Stock),11,8,Warren E. Buffett,Financial Sector,Insurance: Property and Casualty (Stock),"Omaha, NE",http://www.berkshirehathaway.com,21,283001,283001,3.9,8.5
Hitachi,"Hitachi, Ltd. is a Japanese multinational conglomerate company headquartered in Chiyoda, Tokyo, Japan. It is the parent company of the Hitachi Group and forms part of the DKB Group of companies.",84558,1.2,2134.3,86742,48.8,303887,"Electronics, Electrical Equip.",79,71,Toshiaki Higashihara,Technology,"Electronics, Electrical Equip.","Tokyo, Japan",http://www.hitachi.com,23,26632,26632,2.5,8
SoftBank Group,"SoftBank Group Corp. is a Japanese multinational holding conglomerate headquartered in Tokyo, Japan.It now owns operations in broadband; fixed-line telecommunications; e-commerce; internet; technology services; finance; media and marketing; semiconductor design; and other businesses.",82892,8.4,13163.4,221113,233.3,68402,Telecommunications,92,72,Masayoshi Son,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.softbank.jp,10,32191,32191,6,40.9
Banco Santander,"Banco Santander, S.A., doing business as Santander Group, is a Spanish multinational commercial bank and financial services company founded and based in Santander, Spain.",82801,-2.5,6860.7,1412281,3.7,185606,Banks: Commercial and Savings,75,73,Jose Antonio Alvarez,Financial Sector,Banks: Commercial and Savings,"Madrid, Spain",http://www.santander.com,23,95906,95906,0.5,7.2
Citigroup,Citigroup Inc. or Citi is an American multinational investment bank and financial services corporation headquartered in New York City.,82386,-6.7,14912,1792077,-13.5,219000,Banks: Commercial and Savings,70,74,Michael L. Corbat,Financial Sector,Banks: Commercial and Savings,"New York, NY",http://www.citigroup.com,23,225120,225120,0.8,6.6
Petrobras,"Petroleo Brasileiro S.A. Petrobras, more commonly known as simply Petrobras, is a semi-public Brazilian multinational corporation in the petroleum industry headquartered in Rio de Janeiro, Brazil.",81405,-16.3,-4838,246983,,68829,Petroleum Refining,58,75,Pedro Pullen Parente,Energy,Petroleum Refining,"Rio de Janeiro, Brazil",http://www.petrobras.com.br,23,76779,76779,-2,-6.3
Robert Bosch,"Robert Bosch GmbH, or Bosch, is a large multinational engineering and electronics company headquartered in Gerlingen, near Stuttgart, Germany.",80869,3.3,2155.3,86348,-39.1,389281,Motor Vehicles and Parts,87,76,Volkmar Denner,Transportation,Motor Vehicles and Parts,"Stuttgart, Germany",http://www.bosch.com,23,36316,36316,2.5,5.9
Deutsche Telekom,Deutsche Telekom AG is a German telecommunications company headquartered in Bonn and by revenue the largest telecommunications provider in Europe.,80832,5.3,2958.1,156597,-18,221000,Telecommunications,90,77,Timotheus Hottges,Telecommunications,Telecommunications,"Bonn, Germany",http://www.telekom.com,23,30906,30906,1.9,9.6
Hyundai Motor,"The Hyundai Motor Company, commonly known as Hyundai Motors, is a South Korean multinational automotive manufacturer headquartered in Seoul.",80701,-0.8,4659,148092,-17.9,129315,Motor Vehicles and Parts,84,78,Mong-Koo Chung,Transportation,Motor Vehicles and Parts,"Seoul, South Korea",http://worldwide.hyundai.com,22,55639,55639,3.1,8.4
Comcast,"Comcast Corporation is an American telecommunications conglomerate headquartered in Philadelphia, Pennsylvania.",80403,7.9,8695,180500,6.5,159000,Telecommunications,96,79,Brian L. Roberts,Telecommunications,Telecommunications,"Philadelphia, PA",http://www.comcastcorporation.com,15,53943,53943,4.8,16.1
Credit Agricole,"Credit Agricole Group, sometimes called the green bank due to its historical ties to farming, is the worlds largest cooperative financial institution. It consists of a network of Credit Agricole local banks, the 39 Credit Agricole regional banks and a central institute Credit Agricole S.A..",80258,-4.6,3914.7,1607501,0.4,70830,Banks: Commercial and Savings,77,80,Philippe Brassac,Financial Sector,Banks: Commercial and Savings,"Paris, France",http://www.credit-agricole.com,23,61460,61460,0.2,6.4
Apple,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Four of technology along with Amazon, Google, and Facebook.",215639,-7.7,45687,321686,-14.4,116000,"Computers, Office Equipment",9,9,Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, CA",http://www.apple.com,15,128249,128249,14.2,35.6
IBM,"International Business Machines Corporation is an American multinational information technology company headquartered in Armonk, New York, with operations in over 170 countries.",79919,-3.1,11872,117470,-10,414400,Information Technology Services,82,81,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, NY",http://www.ibm.com,23,18246,18246,10.1,65.1
Electricite de France,"Electricite de France S.A. is a French electric utility company, largely owned by the French state. Headquartered in Paris, with 71.2 billion in revenues in 2016, EDF operates a diverse portfolio of 120+ gigawatts of generation capacity in Europe, South America, North America, Asia, the Middle East and Africa.",78740,-5.4,3152.8,297026,139.4,154808,Utilities,80,82,Jean-Bernard Levy,Energy,Utilities,"Paris, France",http://www.edf.fr,23,36319,36319,1.1,8.7
Huawei Investment & Holding,"Huawei Technologies Co. Ltd. is a Chinese multinational telecommunications equipment and consumer electronics manufacturer, headquartered in Shenzhen, China.",78511,24.9,5579.4,63837,-5,180000,Network and Other Communications Equipment,129,83,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China",http://www.huawei.com,8,20159,20159,8.7,27.7
Enel,"Enel, or the Enel Group, is an Italian multinational energy company that is active in the sectors of electricity generation and distribution, as well as in the distribution of natural gas.",78064,-7,2842,164096,16.7,62080,Utilities,78,84,Francesco Starace,Energy,Utilities,"Rome, Italy",http://www.enel.com,23,36704,36704,1.7,7.7
